# epoch | BaseLoss | ValLoss | Acc@1 | MeanWBits | MeanABits | MaxWBits | MaxABits | LR | EpochTime(s)
   291 | base=0.803895 | val=0.612940 | acc1=0.8024 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=5.2007e-07 | t=9.00s
   293 | base=0.857837 | val=0.526716 | acc1=0.8227 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.4758e-07 | t=9.03s
   295 | base=0.860790 | val=0.533432 | acc1=0.8260 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.8519e-07 | t=9.02s
   297 | base=0.857862 | val=0.490484 | acc1=0.8382 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.315e-07 | t=9.09s
   299 | base=0.914335 | val=0.588220 | acc1=0.8120 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.8529e-07 | t=8.96s
   301 | base=0.845497 | val=0.504986 | acc1=0.8318 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.4553e-07 | t=9.05s
   303 | base=0.894311 | val=0.545200 | acc1=0.8224 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.113e-07 | t=8.97s
   305 | base=0.859825 | val=0.530946 | acc1=0.8235 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.8185e-07 | t=9.00s
   307 | base=0.928681 | val=0.496831 | acc1=0.8371 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.565e-07 | t=9.04s
   309 | base=0.838408 | val=0.513327 | acc1=0.8348 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.3469e-07 | t=8.98s
   311 | base=0.893540 | val=0.593113 | acc1=0.8042 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.1591e-07 | t=8.98s
   313 | base=0.835055 | val=0.678401 | acc1=0.7835 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=9.9756e-08 | t=9.06s
   315 | base=0.871030 | val=0.528016 | acc1=0.8302 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=8.5851e-08 | t=8.94s
   317 | base=0.845566 | val=0.507052 | acc1=0.8288 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=7.3884e-08 | t=9.01s
   319 | base=0.878351 | val=0.519368 | acc1=0.8254 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=6.3586e-08 | t=9.10s
